state_name,year,total_dbt_transfer,Sl. No.,state,flood_amount_raw,flood_amount,state_norm,dbt_change,flood_flag
,2017,,29.0,andaman and nicobar islands,,,andaman and nicobar islands,,0
,2018,,29.0,andaman and nicobar islands,,,andaman and nicobar islands,,0
andaman and nicobar islands,2019,138800000.0,29.0,andaman and nicobar islands,,,andaman and nicobar islands,,0
andaman and nicobar islands,2020,555193231.58,29.0,andaman and nicobar islands,,,andaman and nicobar islands,299.99512361671475,0
andaman and nicobar islands,2021,883278131.1,29.0,andaman and nicobar islands,0.11,0.11,andaman and nicobar islands,59.09382190887263,1
andaman and nicobar islands,2022,749613354.3,,,,,,-15.132807220477563,0
andaman and nicobar islands,2023,48090321.75,,,,,,-93.58464980991334,0
,2017,,1.0,andhra pradesh,,,andhra pradesh,,0
,2018,,1.0,andhra pradesh,3687.17,3687.17,andhra pradesh,,1
andhra pradesh,2019,12704100000.0,1.0,andhra pradesh,698.05,698.05,andhra pradesh,,1
andhra pradesh,2020,13189684429.0,1.0,andhra pradesh,917.66,917.66,andhra pradesh,3.8222654812225976,1
,2021,,1.0,andhra pradesh,6320.46,6320.46,andhra pradesh,,1
andhra pradesh,2022,153214059566.0,,,,,,1061.6203586276113,0
andhra pradesh,2023,62959083566.6,,,,,,-58.907763592362016,0
,2017,,2.0,arunachal pradesh,1574.68,1574.68,arunachal pradesh,,1
,2018,,2.0,arunachal pradesh,1913.83,1913.83,arunachal pradesh,,1
arunachal pradesh,2019,188200000.0,2.0,arunachal pradesh,,,arunachal pradesh,,0
arunachal pradesh,2020,4829125394.02,2.0,arunachal pradesh,1390.08,1390.08,arunachal pradesh,2465.95398194474,1
arunachal pradesh,2021,6588984855.84,2.0,arunachal pradesh,567.9,567.9,arunachal pradesh,36.44261265195696,1
arunachal pradesh,2022,6565576314.77,,,,,,-0.355267792871794,0
arunachal pradesh,2023,1119292497.51,,,,,,-82.95210589522772,0
,2017,,3.0,assam,4164.81,4164.81,assam,,1
,2018,,3.0,assam,2480.98,2480.98,assam,,1
assam,2019,5817900000.0,3.0,assam,3121.98,3121.98,assam,,1
